,Time (min),,Ester fuel,,Phenol waste,,,,Fuel dimer,Alanine waste,
-420,0,1,48,0,0,1,0,0,0,0,
0,7,64310.2,47.4465671373108,750.136,0.553432862689181,100914,30.5566,1445.06,0.0143205850388076,0.677238456378631,
272,11.5333333333333,27799.7,47.3721957569192,368.418,0.627804243080777,45707.8,20.3877,777.087,0.0210337596397123,0.801711874176347,
523,15.7166666666667,27890.2,47.2345967088372,451.941,0.765403291162795,45569,26.8156,910.002,0.0276612070171864,0.938698134968214,
774,19.9,27659.9,47.1327993646308,508.917,0.867200635369245,45478,49.7741,1000.74,0.0512933577494589,1.03128564522901,
1025,24.0833333333333,27651.3,47.0438085148976,562.028,0.95619148510236,45308,42.2128,1103.65,0.0435781810368529,1.13934776895451,
1275,28.25,27594.9,46.926454200662,631.294,1.07354579933802,45326.4,80.5972,1232.61,0.0828049801939651,1.26637459659744,
1525,32.4166666666667,27490.3,46.7910359719185,710.281,1.20896402808155,45103.1,67.0761,1330.94,0.0691384536932915,1.37186171465767,
1776,36.6,27505.6,46.6764820522158,779.925,1.32351794778425,44988.4,110.769,1464.02,0.113916030005426,1.50561390143943,
2027,40.7833333333333,27276.4,46.5618810205135,842.464,1.43811897948651,44850.2,87.7094,1564.16,0.0903642667648811,1.61150539740275,
2277,44.95,27203,46.4471030960751,909.496,1.55289690392486,44638.7,89.3208,1684.76,0.0921979491782797,1.73902850016568,
2528,49.1333333333333,27123.2,46.3316773226513,976.659,1.66832267734867,44441.1,71.0186,1787.42,0.0735141651478797,1.8502292226068,
2779,53.3166666666667,27129.1,46.223595389556,1042.59,1.77640461044403,44435.5,128.212,1891.19,0.132111734737184,1.9487130036004,
3029,57.4833333333333,26988,46.1173039570292,1101.76,1.88269604297082,44184.5,115.39,2007.02,0.119311623939357,2.07523022340556,
