,Time (min),,Ester fuel,,Fuel dimer,,Phenol waste,,,
-420,0,1,48,0,0,0,0,--,--,--
0,7,66534.1,46.9319012528084,617.404,0.435505155417882,896.811,0.632593591773727,28867.1,0,
278,11.6333333333333,26059.5,46.7106170443474,199.481,0.357561756696155,519.856,0.931821198956474,11566.4,0,
529,15.8166666666667,25792.5,46.1359587994604,361.187,0.646067986852795,680.913,1.21797321368681,11613,0,
779,19.9833333333333,25635.6,45.7576781429797,400.096,0.71414220826872,856.158,1.52817964875163,11567.8,0,
1030,24.1666666666667,25281.2,45.3847710547887,438.801,0.787734875069709,1017.99,1.82749407014162,11599.8,0,
1281,28.35,25100.4,45.0413036528035,462.038,0.829102080330752,1186.77,2.12959426686577,11536.1,0,
1531,32.5166666666667,24905.5,44.6618397301873,497.102,0.891429196505012,1364.41,2.4467310733077,11549,0,
1782,36.7,24602.4,44.2632341018547,571.07,1.02743655491115,1505.9,2.70932934323412,11559.2,0,
2033,40.8833333333333,24316.1,43.9673138046155,543.225,0.982235804323566,1687.05,3.05045039106093,11596.8,0,
2284,45.0666666666667,24070,43.616470427281,578.466,1.04821957549595,1840.61,3.33530999722301,11584.9,0,
2535,49.25,23868.1,43.2347149685965,606.687,1.09895381367402,2024.03,3.66633121772946,11553.7,0,
2786,53.4333333333333,23622.5,42.8284822929487,677.815,1.2289041263793,2174.59,3.94261358067196,11550.6,0,
3037,57.6166666666667,23415.3,42.481051834784,735.371,1.33414193150619,2306.64,4.18480623370984,11629.1,0,
