,Time (min),,Ester fuel,,Phenol waste,
-480,0,1,48,0,0,--
0,8,76573.7,47.2956092675027,1140.44,0.704390732497329,
276,12.6,41835.4,47.2233956285289,687.997,0.776604371471075,
527,16.7833333333333,41691.8,47.1571295651659,745.185,0.842870434834143,
778,20.9666666666667,41658.8,47.0326385590919,856.833,0.967361440908101,
1028,25.1333333333333,41563.8,46.941170200889,937.535,1.05882979911102,
1279,29.3166666666667,41632,46.8084159467589,1059.81,1.19158405324113,
1530,33.5,41452.5,46.7458654629126,1112.12,1.25413453708737,
1781,37.6833333333333,41421.4,46.6153065954294,1230.41,1.38469340457064,
2032,41.8666666666667,41415.9,46.4661945165136,1367.1,1.53380548348643,
2282,46.0333333333333,41273.1,46.3922205853529,1430.37,1.6077794146471,
2533,50.2166666666667,41260.6,46.2994025638604,1515.52,1.7005974361396,
2784,54.4,41099,46.1729557238608,1626.27,1.82704427613916,
3034,58.5666666666667,41067.9,46.0679200977418,1722.38,1.93207990225818,
