,Time (min),,Ester fuel,,Fuel dimer,,Phenol waste,
-420,0,1,48,0,0,0,0,--
0,7,81352.1,46.5540130280632,1048.78,0.600167884831149,1478.05,0.845819087105665,
274,11.5666666666667,41052.2,46.3322938438629,519.414,0.586220521058949,958.238,1.08148563507816,
525,15.75,40833.4,45.9151232221682,689.17,0.774937317760011,1164.96,1.30993946007183,
776,19.9333333333333,40516.7,45.8343691307757,533.796,0.603854778511863,1380.58,1.56177609071238,
1027,24.1166666666667,40365.1,45.0411847834949,946.797,1.05647845860554,1704.84,1.90233675789961,
1278,28.3,40008.1,45.3782886307088,499.361,0.566388995951304,1812.09,2.05532237333993,
1528,32.4666666666667,39724,44.7565768215468,797.712,0.898772993894615,2081.01,2.34465018455863,
1779,36.65,39465.2,44.6153517512118,710.003,0.802657368755653,2283.94,2.5819908800326,
2030,40.8333333333333,39226,44.2169712893618,833.661,0.939732945038001,2522.36,2.84329576560023,
2281,45.0166666666667,38965.9,44.1496481578655,695.86,0.788432300219738,2702.41,3.06191954191478,
2531,49.1833333333333,38745.9,43.7070601727303,854.181,0.963553314425601,2951.47,3.32938651284415,
2782,53.3666666666667,38371.7,43.4964889505166,830.724,0.941672568245059,3142.18,3.56183848123837,
3033,57.55,38157.2,43.002053200069,1069.1,1.20484456606339,3365.75,3.79310223386759,
