,Time (min),,SachCHO,,Imine ester in solution,,Ester fuel,,,,Phenol waste,,,,,Fuel dimer,Alanine waste,,,
-420,0,3587.81,6,0,0,1,48,0,0,0,0,1,0,0,0,0,0,28702.8,8.00008919089918,--
0,7,3150.28,5.72798490128286,149.603,0.272015098717136,60481.7,46.2419677259557,558.2,0.19801679167775,1741.2,1.33125415132898,95293.4,155.617,118.308,4601.23,0.0566254026711355,2.20227289390835,25915.6,7.85349056315027,
299,11.9833333333333,1416.2,5.83269049632234,40.6234,0.167309503677659,26038.3,45.2659739739149,323.101,0.420448567021734,1249.59,2.17233492271248,42898.5,227.845,101.221,3074.49,0.104703984591433,3.18028228911506,11555.2,7.93177814139998,
550,16.1666666666667,1431.45,5.83041790941024,41.6348,0.169582090589761,25545.5,44.4412888373892,345.929,0.456946321710491,1699.67,2.9569014267971,41960.1,120.195,58.1228,3849.67,0.0605890118567108,4.01301556832127,11636.3,7.89927368743469,
800,20.3333333333333,1411.66,5.86027596979377,33.6576,0.139724030206233,25151.4,43.8514257494519,275.114,0.362296876079471,2104.34,3.66891343072758,41353.2,89.5375,89.0243,4620.87,0.092409458492556,4.79657907407862,11577.2,8.01014254583214,
1051,24.5166666666667,1412.87,5.83805127503739,39.1933,0.16194872496261,24662.2,43.0469870233465,309.238,0.402942852629585,2528.41,4.41324912050423,40581.4,114.301,91.944,5344.73,0.0954759766174165,5.55004477188728,11621.4,8.00337010101419,
1302,28.7,1454.2,5.85288106077935,36.553,0.147118939220649,24263.6,42.3557254863896,301.139,0.398065544677537,2932.2,5.11859156395554,40083.1,135.101,134.787,6118.54,0.138817582982049,6.30150484971833,11585,7.77124044023389,
1552,32.8666666666667,1424.72,5.84729686876251,37.2068,0.152703131237487,23803.7,41.7463300617394,289.054,0.376430932291357,3276.78,5.74673430683913,39210.6,63.0433,116.53,6809.04,0.120767574942493,7.05664848954286,11576.7,7.9187959342424,
1803,37.05,1430.82,5.85351684751259,35.806,0.14648315248741,23383.3,41.0364046881161,296.445,0.394569542162279,3671.54,6.44335065061843,38536.7,72.8776,96.4154,7451.3,0.100055527655811,7.73262106698454,11601.2,7.91012841719702,
2054,41.2333333333333,1426.05,5.83478083924065,40.3804,0.165219160759351,22972.6,40.5118963774657,231.01,0.264962608550931,4015.18,7.08072034061764,37993.4,58.1836,148.78,8163.78,0.153536682867211,8.42478626735904,11582.6,7.89849964921622,
2305,45.4166666666667,1439.04,5.86036709421361,34.2875,0.139632905786392,22554.7,39.7896659059177,305.363,0.417727365495016,4348.65,7.67163077503886,37253.6,58.0971,122.371,8753.97,0.126835588675463,9.07335020713518,11583.9,7.86240669504913,
2556,49.6,1434.41,5.88511308714644,28.002,0.11488691285356,22163.6,39.1747478218551,303.996,0.438332403663552,4689,8.28793122672665,36575,49.2548,113.974,9359.78,0.118383840478708,9.72192519728888,11609.3,7.93846057061895,
2807,53.7833333333333,1425.87,5.9003340241133,24.0852,0.0996659758867033,21782.7,38.5439745124613,321.208,0.483133601222236,5022.76,8.88765549827203,36026.3,111.054,153.323,9960.32,0.158595234236812,10.3028200822682,11557.2,7.97072902666234,
3058,57.9666666666667,1419.72,5.92939330969879,16.9059,0.070606690301212,21440,38.0396959485683,289.894,0.454351167250022,5323.95,9.44596265137035,35500.2,62.5657,167.681,10587.2,0.173144697439661,10.9321720453312,11593.4,8.06988096205143,
