,Time (min),,SachCHO,,Imine ester in solution,,Imine ester assembly that precipitated,,Ester fuel,,,,Phenol waste,,,,,,Fuel dimer,Alanine waste,,,
-420,0,3082.79,5.99999898436741,0,0,5.21830417710589E-4,1.01563258514403E-6,1,47.9499565083321,0,0,0,0,1,0,0,0,0,0,0,27397.9,8.88737150438402,--
0,7,1765.62,3.77798101651632,899.7,1.92513084387339,138.749145315205,0.296888139610285,53485.7,40.5564619201444,2709.9,0.690402454829823,6829.11,5.17829138748258,82946.6,3026.66,590.457,1235.79,10661.4,0.287849633560658,5.19746583281017,24920.8,9.3500217609893,
294,11.9,774.608,3.75203177510355,334.781,1.6216059603063,129.31266314669,0.626362264590147,21534,37.6821179241199,1248.7,1.01342743616323,4388.98,7.68022949413038,34835,1091.2,350.879,610.905,7332.7,0.380866835981099,7.95938841651567,11008.8,9.92330012286042,
545,16.0833333333333,795.868,3.85760360708274,315.522,1.52934758692894,126.479020868941,0.613048805988328,20200.3,35.7652743415939,1139,0.899352271672137,5518.24,9.77021962459752,32724.2,818.145,414.905,720.328,9271.32,0.453149928810502,10.1259276171157,11001.4,9.89877540737275,
796,20.2666666666667,811.642,3.92471404197106,259.046,1.25262304527912,170.12902460908,0.822662912749827,19015.2,33.8731635095848,1038.63,0.927272328818643,6551.42,11.6705225756218,30876.4,872.402,591.352,815.704,11017.4,0.642580993233508,11.9718405194383,11027.6,10.2995457126633,
1047,24.45,830.908,4.01936961870186,241.04,1.16598811528099,168.407695779516,0.814642266017145,17888.5,31.946429564351,1145.09,1.18404574254188,7507.34,13.407088829451,29134.5,775.391,663.336,885.527,12645.7,0.721925454513052,13.7626372157334,11023.5,10.2836145036886,
1298,28.6333333333333,875.088,4.23657984378269,211.695,1.02488294894865,152.548770816338,0.738537207268665,16859,30.4654254428627,1031.54,1.09897078611287,8366.67,15.119174392908,27522.1,709.077,724.985,920.193,14181.4,0.789855951579921,15.4503378576598,11014.4,10.1348659299971,
1549,32.8166666666667,889.717,4.31037767977432,186.012,0.901165171588473,162.747624693244,0.788457148637205,15957.4,28.8845623835223,1036.13,1.20210129383681,9198.78,16.6507535539811,26055.7,588.039,768.553,1005.26,15621.9,0.837670368832019,17.0268058739696,11006.8,10.2319450344836,
1799,36.9833333333333,908.01,4.39488840095851,155.427,0.752287220951067,176.19857272849,0.852824378090424,15099.1,27.3996487968644,1033,1.31044544244759,9966.82,18.0863341273032,24652.9,558.068,860.466,1062.37,16970.3,0.936474483190952,18.4693560490425,11017.1,10.359899081939,
2050,41.1666666666667,941.742,4.5501846246276,146.248,0.706621772186583,153.817193804241,0.743193603185822,14270.2,26.1286988959961,952.086,1.20770756575311,10685.3,19.564756367352,23403.9,505.297,920.107,1132.64,18263.3,0.998640866741176,19.8221269282313,11036.4,10.1438432338533,
2300,45.3333333333333,936.979,4.49989411538732,126.208,0.606120987252439,186.147730072001,0.893984897360244,13542.3,24.859993667531,914.354,1.21513882341243,11318.7,20.7780665267113,22084.7,395.4,908.589,1130.08,19411.9,0.992752284286861,21.2100389365798,11103.3,10.4434121184702,
2551,49.5166666666667,956.682,4.6117559021172,124.381,0.59958775315229,163.602182163002,0.788656344730514,12846.5,23.6624226446295,915.042,1.22724469385932,11970.8,22.049439846988,21085,402.782,990.359,1230.33,20589.1,1.07313405513815,22.3099546474004,11061.8,10.2323361358219,
2802,53.7,971.386,4.68107186922597,95.9338,0.462301301941711,177.761703301877,0.856626828832317,12154.3,22.3574209196099,972.507,1.43595959061663,12612.2,23.1997123752338,19924.3,352.545,966.989,1165.46,21546.3,1.05596279736318,23.5288004525658,11065.5,10.3675580646026,
3053,57.8833333333333,1012.86,4.88667446000452,90.2554,0.435448885391359,140.503353354479,0.677876654604117,11557.8,21.4042295473275,945.208,1.41616522201445,13134.9,24.3249073942438,18904.5,252.368,954.479,1185.21,22543,1.04506056026068,24.68236620183,11052.5,10.0193506499864,
