,Time (min),,SachCHO,,Imine ester in solution,,Other imines,,Byproducts,,Imine ester assembly that precipitated,,Ester fuel,,Fuel dimer,,Phenol waste,,,
-360,0,3028.84,6.00000071072579,0,0,0,0,0,0,-3.58779077032523E-4,-7.10725794661471E-7,1,48.0344675238479,0,0,0,0,26160.3,8.63706897690205,--
0,6,70.5387,0.163965055536796,380.92,0.885436915552406,43.2619,0.100560966336597,19.868,0.0461825596928363,2066.64554537569,4.80385450288136,32678.4,29.2146877028912,2771.02,1.79621910004452,14108.2,12.6128163266846,22294.3,43.3245120470994,
298,10.9666666666667,28.571,0.131126808822566,169.234,0.776700653259531,45.4199,0.20845495586574,31.5682,0.144882479656733,1032.53681627948,4.73883510239543,12897.4,23.423844658271,1811.79,2.67580021241593,9655.01,17.5351198236895,11291.5,41.0909153104645,
549,15.15,55.759,0.254928743055016,147.989,0.676601979159756,64.4068,0.294466266758655,38.5745,0.176361642048382,1005.61389045695,4.59764136897819,10632,19.432541443926,2028.8,3.16714967362177,11589.9,21.183334469616,11334.8,36.9537569446414,
800,19.3333333333333,52.5526,0.240247967438734,123.481,0.564502218107235,59.9171,0.273915305614249,31.8441,0.145577579414069,1044.66417046105,4.77575692942571,8836.06,16.2032369302369,2152.8,3.49485456919134,13097.5,24.0177064997043,11335.8,42.3301722064805,
1051,23.5166666666667,81.5567,0.374228830085002,110.8,0.508413832014025,79.6438,0.365451349766775,44.4392,0.203912490646549,991.156510288906,4.54799349748765,7298.84,13.5062599444587,2278.15,3.80557717236937,14380.1,26.6098953569759,11293.8,35.6902120688396,
1301,27.6833333333333,89.9173,0.412030213088989,103.946,0.476314263548261,99.1735,0.454445121659357,42.2536,0.193619690668836,974.088822352025,4.46359071103456,5998.36,11.2804810625698,2111.21,3.57936880331427,15466.1,29.0854580521693,11309.2,33.7295669664267,
1551,31.85,113.676,0.523078770026904,95.8034,0.440838212431784,94.66,0.435576870850019,55.6685,0.256157944590263,944.11808415898,4.34434820210103,4995.01,9.3984295221924,2140.15,3.6663081627759,16487.3,31.0219052737117,11262.1,31.3003133060725,
1802,36.0333333333333,162.642,0.74345082770045,81.8305,0.374054382976978,64.1132,0.293067052830908,49.2943,0.225328562953691,954.717906465966,4.36409917353797,4201.1,7.8992557636423,2091.34,3.6245815265531,17326.2,32.5781545814237,11337,31.678216161842,
2053,40.2166666666667,197.677,0.908551557253086,88.0562,0.404718797006173,110.186,0.506430499691358,82.1698,0.377664066882716,827.353702212672,3.80263507916667,3511.95,6.63693426543145,2109.76,3.65423540019342,18122.9,34.2489204000591,11275.2,23.5838933755012,
2303,44.3833333333333,239.441,1.09649818557315,79.3897,0.363557878572161,120.698,0.552725464737903,75.5925,0.346168948062105,795.091638381535,3.64104952305468,2973.47,5.6451584662482,1994.55,3.48522633309888,18724.8,35.5491944592696,11316.4,21.9684221887975,
2554,48.5666666666667,284.943,1.31012650359862,78.384,0.360398240553633,125.593,0.577458361730104,96.0715,0.441722795051903,719.964926195458,3.31029409906574,2495.73,4.75662920906138,1920.6,3.36169970753133,19328.6,36.8385135131861,11271,19.2669466137542,
2805,52.75,364.366,1.66638672400519,70.1961,0.321033930490059,118.092,0.5400804164253,117.597,0.537816589865241,641.686860442604,2.93468233921421,2093.46,4.00696012145211,1862.25,3.29569972171012,19838.8,37.9721993529678,11331.3,16.9060520751104,
3056,56.9333333333333,451.691,2.06339048792962,67.8873,0.310119105918038,135.807,0.620386219770281,104.58,0.477736720961188,553.477800495886,2.52836746542087,1796.5,3.43708308434056,1827.56,3.23674198757269,20357.7,38.9485701675925,11344.3,14.9273920796121,
