,Time (min),,SachCHO,,Imine ester in solution,,Ester fuel,,,,Phenol waste,,,,,,Fuel dimer,Alanine waste,,,
-360,0,3239.07,6,0,0,1,48,0,0,0,0,1,0,0,0,0,0,0,25330.5,7.82030027137419,--
0,6,2668.58,5.18603882853645,418.84,0.813961171463552,57977.8,44.3088798170922,1469.08,0.482540329514263,3360.72,2.56839236016023,90177.4,1121.2,126.926,947.996,7094.2,0.0612505029521034,3.42343820842705,24804.5,8.03405432367478,
295,10.9166666666667,1212.49,5.28414018521881,164.26,0.715859814781188,23898.6,42.4759068778194,650.48,0.572231970842759,2457.59,4.3679698385621,38832.4,418.91,172.857,477.103,5115.41,0.184312481506855,5.45441556329787,10815.4,7.85574723079717,
545,15.0833333333333,1220.06,5.36583756825164,144.193,0.634162431748364,22862.5,40.8585143071259,635.199,0.619803780093921,3360.84,6.00629542805735,37283.6,455.55,161.882,456.885,6574.35,0.172934430394977,7.02321118139888,10917.9,8.00284111524769,
795,19.25,1232.86,5.42455760048635,130.783,0.575442399513656,22052.8,39.3267201945935,709.357,0.798544917772674,4154.26,7.40828469108649,35741.8,336.983,123.422,492.32,8010.99,0.132517341540524,8.60134415183451,10874.1,7.9743011917342,
1046,23.4333333333333,1235.73,5.43408921006728,128.69,0.565910789932719,21179.9,38.0533200409596,615.711,0.64380305023145,4920.46,8.84044963048646,34532.5,411.734,218.593,518.525,9434.17,0.23256882631215,10.0373472349494,10883.1,7.9763562539394,
1297,27.6166666666667,1254.83,5.51280417887629,110.896,0.48719582112371,20349.3,36.6742766155597,667.186,0.802705879755598,5617.07,10.1232955899693,33056.6,262.573,203.332,502.262,10712.9,0.218159252694156,11.4940995917378,10903.5,7.98366583048137,
1548,31.8,1249.39,5.58590139513035,92.6208,0.414098604869648,19548.3,35.5015892542508,555.931,0.673207533120767,6326.09,11.4887866855647,31874.2,259.057,209.981,511.162,11913.9,0.225138948765086,12.7739315542471,10846.6,8.08234926276301,
1798,35.9666666666667,1276.7,5.6092011929859,88.949,0.390798807014101,18840.1,34.3611126615765,484.843,0.559815060743181,6993.32,12.7546168225464,30750.9,176.565,265.313,556.306,13127.2,0.283780715889934,14.0409486667836,10864.1,7.95526522554478,
2049,40.15,1265.14,5.6560146661592,76.9428,0.343985333840803,18136.5,33.0578888993189,583.078,0.782300591383787,7614.59,13.8793190656337,29601,217.708,284.307,547.025,14251.2,0.303927820256189,15.2347151214532,10920.3,8.13683030584998,
2300,44.3333333333333,1278.67,5.64932329427441,79.3723,0.350676705725587,17456.3,32.08447148193,455.142,0.544774890877116,8204.07,15.0789829431642,28579.9,182.608,303.383,568.125,15259.5,0.324376108122162,16.3154073296464,10865.9,8.00114989054465,
2550,48.5,1321.53,5.66611902810221,77.8723,0.333880971897788,16883.5,31.0500031149313,470.824,0.579454280892628,8745.77,16.0841167851733,27585.3,159.175,318.828,579.831,16290.9,0.340582463617667,17.4024704748298,10889.1,7.78125060963527,
2801,52.6833333333333,1300.28,5.71906397909971,63.8733,0.28093602090029,16242.2,29.965487395364,488.681,0.66589348818222,9286.57,17.1329374272676,26743.1,216.989,413.207,698.196,17344.9,0.436713158544166,18.331601506346,10918.1,8.0035726190011,
3052,56.8666666666667,1309.28,5.74161084764275,58.9214,0.258389152357248,15697.7,28.9654019163559,518.985,0.740187737605587,9796.75,18.0769667673646,25664.9,133.964,315.004,577.133,18090,0.337647476884226,19.3903660170526,10882.6,7.95394596146445,
