,Time (min),,SachCHO,,Imine ester,,Ester fuel,,,,Phenol waste,,,,,Fuel dimer,Alanine waste,,,
-420,0,3589.46,6,0,0,1,48,0,0,0,0,1,0,0,0,0,0,29215.9,8.139358009,--
0,7,2704.54,5.754473064,115.395,0.245526936,54154.4,45.08122885,852.161,0.517264862,2654.05,2.209383456,84533.6,533.258,227.653,5279.64,0.120342807,2.790943669,22690.6,8.046497526,
291,11.85,1378.37,5.829202428,40.3867,0.170797572,26690.3,44.15224537,406.431,0.538716847,1919.56,3.17541894,43324.9,210.004,100.172,3837.93,0.101070734,3.872363541,11617.9,8.188789523,
542,16.03333333,1382.06,5.822916042,42.0306,0.177083958,26109.4,43.18878455,456.248,0.615651663,2452.33,4.056514206,42479,209.166,113.167,4837.79,0.113754042,4.862885529,11569.4,8.12406177,
793,20.21666667,1388.41,5.893106507,25.184,0.106893493,25541.5,42.13431566,570.113,0.857392866,2985.62,4.925202338,41529.9,226.451,119.963,5771.11,0.120547184,5.799213593,11678,8.261212201,
1044,24.4,1409.69,5.908484277,21.8345,0.091515723,25074.7,41.36133479,528.663,0.80000954,3495.93,5.766622577,40716.8,181.066,117.027,6638.64,0.117589076,6.67052511,11643.3,8.133496842,
1295,28.58333333,1397.51,5.899093509,23.905,0.100906491,24522.8,40.80815155,366.58,0.530462038,3955.21,6.581826263,39774.8,184.513,126.334,7455.1,0.127216349,7.507168312,11581.5,8.147866738,
1546,32.76666667,1398.51,5.964002375,8.44115,0.035997625,23919.1,39.88792633,493.517,0.794844697,4370.95,7.289075742,39118.1,220.512,159.403,8428.88,0.159116928,8.413753124,11519.4,8.187491087,
1796,36.93333333,1435.77,5.896442943,25.2159,0.103557057,23496.7,39.22626047,413.988,0.606934174,4841.52,8.082612647,38315.6,227.846,163.971,9141.47,0.163927088,9.139021885,11642.1,7.968660067,
2047,41.11666667,1376.54,5.896217172,24.2293,0.103782828,23014.1,38.46154489,461.862,0.690886605,5245.63,8.766583691,37624.1,133.227,141.971,9871.69,0.142228911,9.88962339,11665.3,8.327781027,
2298,45.3,1422.25,5.918183224,19.6621,0.081816776,22670.1,37.82974424,382.964,0.573433983,5711.73,9.531201232,36892.4,260.798,197.584,10733,0.196432553,10.67045203,11669.7,8.093211785,
2549,49.48333333,1397.65,5.897161171,24.3732,0.102838829,22209.2,37.01478325,493.748,0.741658311,6097.48,10.16231564,36196.8,121.229,148.033,11290.1,0.148329056,11.3126794,11681.7,8.214844877,
2799,53.65,1431.06,5.925857422,17.905,0.074142578,21639.3,36.62437396,344.633,0.522680911,6376.59,10.79233694,35453.3,165.911,169.619,11978.1,0.169843515,11.99395476,11648.1,8.038910533,
3050,57.83333333,1400,5.943730281,13.2539,0.056269719,21350.7,35.85216003,413.309,0.649517745,6820.98,11.45381025,34900,184.6,204.565,12777.7,0.203414732,12.70585106,11543.4,8.167959062,
