,Time (min),,SachCHO,,Imine ester,,Ester fuel,,,,Phenol waste,,,,,,Fuel dimer,Alanine waste,,,
-360,0,3663.96,6,0,0,1,48,0,0,0,0,1,0,0,0,0,0,0,31035,8.47034356270265,--
0,6,2586.23,5.38099321748605,297.509,0.619006782513951,57138.5,43.0805865869136,1848.62,0.945175485995049,4676.08,3.52561354126088,88858,1186.4,409.463,819.783,7924,0.198131959703963,3.83428453534069,25878.5,8.97393973587762,
278,10.6333333333333,1185.56,5.50469961322795,106.674,0.495300386772055,23669,41.4971196131155,584.753,0.651157113097687,3124.34,5.47767589218139,38293.1,454.167,207.876,365.448,5597.85,0.222137006046136,5.9818816953153,11404,8.82502704618513,
529,14.8166666666667,1191.55,5.51247096995062,105.382,0.487529030049378,22517.6,39.5861920090262,642.081,0.758260097823798,4143.9,7.28502242984171,36466.6,400.595,242.287,408.707,7320.46,0.259369456024422,7.83658936735583,11391,8.78303565645693,
780,19,1185.33,5.51808629249819,103.519,0.48191370750181,21640.3,37.7278291148295,697.703,0.855428310727108,5194.31,9.05579128059455,34959.2,398.605,319.166,469.68,8957.19,0.339659941600096,9.53233938546387,11368.1,8.82035056084925,
1030,23.1666666666667,1242.54,5.66016291481945,74.6023,0.339837085180546,20590,36.264079198882,618.435,0.826430713361977,6044.98,10.6467039084827,33367.8,388.46,348.97,507.532,10449.9,0.37171705479805,11.1310601224579,11345.1,8.61342012932088,
1281,27.35,1237.85,5.66143101242434,74.0268,0.338568987575663,19716.1,34.76189073389,643.684,0.873856888999051,6864.65,12.1032158097391,31993.1,371.702,405.44,535.983,11865.5,0.430825256285874,12.6084182085143,11343.3,8.64661986552396,
1532,31.5333333333333,1238.74,5.69048430795611,67.3773,0.309515692043892,18800.8,33.4269475220737,578.572,0.789086684565719,7617.96,13.5443783852419,30479.4,288.287,385.965,532.913,13114.1,0.413527790268292,14.0506128647867,11397.9,8.72655158920259,
1782,35.7,1241.76,5.66761976948442,72.8236,0.332380230515579,17997.5,32.2006306385489,502.886,0.639161808504429,8327.66,14.8996195995787,29247.2,254.932,415.954,534.199,14339.6,0.445745741667268,15.3666406314447,11410.9,8.68023912667099,
2033,39.8833333333333,1245.62,5.7467679562854,54.8884,0.253232043714597,17276,30.8427884328385,599.985,0.875167156786443,9010.3,16.0860602348,27937.8,271.458,424.676,532.9,15449.6,0.456882053819003,16.6212476774814,11379.1,8.74973202787464,
2284,44.0666666666667,1248.84,5.84053393092025,34.0975,0.159466069079749,16534.5,29.7582887071738,542.732,0.854057216621981,9592.85,17.2649187955253,26895.4,221.476,437.915,565.754,16520.1,0.470869540527472,17.7632917266316,11410.2,8.89380815511278,
2535,48.25,1258.88,5.80643450245667,41.9665,0.19356549754333,15871.5,28.5798318445034,576.08,0.886209778708807,10208.7,18.3828201084322,25967.8,240.615,505.214,624.162,17567.2,0.540035115473022,18.7779928516187,11358.6,8.73169893603896,
2786,52.4333333333333,1273.63,5.79189812756837,45.7613,0.208101872431628,15228.1,27.7345486495023,447.372,0.648099401514056,10679.7,19.4506641808295,24805.9,172.943,456.077,591.962,18461.9,0.492072271162649,19.9189809242249,11359.5,8.60965204181655,
3037,56.6166666666667,1260.21,5.78331775565118,47.216,0.21668224434882,14730.6,26.5584419682015,585.928,0.886139600125124,11306.6,20.385162855394,23944.1,170.396,483.633,630.156,19389.1,0.52029907176317,20.8590620001598,11374,8.6995363408713,
