,Time (min),,SachCHO,,Imine ester,,Imine ester assembly that precipitated,,Ester fuel,,,,Phenol waste,,,,,,Fuel dimer,Alanine waste,,,
-480,0,3494.88,6.00000184524331,0,0,-0.00107481699251366,-1.84524330837377E-6,1,48.1034047135678,0,0,0,0,1,0,0,0,0,0,0,28993.9,8.29610744861054,--
0,8,1809.82,3.13685790496817,542.969,0.941097236080199,1108.92980556068,1.92204485895163,56930.8,38.1450424081496,2506.12,0.951557023918349,9984.37,6.68977455206421,87158.2,2011.81,984.439,1444.65,15772.7,0.440088295437799,7.05110286919939,28718.8,12.2062794411229,
278,12.6333333333333,682.127,2.94575962623369,212.04,0.91569292983065,495.20705603349,2.13854744393566,20773.4,35.2774226862397,1207.54,1.33047308470262,5293.84,8.99000795793289,32981.9,739.369,563.155,757.315,8765.48,0.617054463101162,9.60442250397132,11526.4,12.890656890715,
528,16.8,698.07,3.09073542772515,202.409,0.896174691922615,454.674198306194,2.01308988035224,19468.3,33.5057285081583,1119.93,1.23073655763092,6392.53,11.0018016293285,31262.4,848.866,870.053,1018.64,10876.7,0.93060724507143,11.6337002716713,11242.5,12.4850218605875,
779,20.9833333333333,727.294,3.16154907587592,165.535,0.719581113380725,487.432351404453,2.11886981074335,18197.9,31.5416177081659,1161.49,1.43933037203277,7359.29,12.7555328792623,29073.4,622.928,829.383,971.625,12315.5,0.908646589323732,13.4924842573533,11450.8,12.825300253464,
1030,25.1666666666667,762.624,3.30848328852168,142.796,0.619490311959421,477.61373508789,2.0720263995189,17185.4,29.8826636419745,1143.25,1.4913301717649,8320.73,14.4684194633635,27344,543.767,926.512,1074.72,13896.8,1.01568492560796,15.2343091877803,11473.8,12.6723509531488,
1280,29.3333333333333,774.506,3.37323117972508,144.084,0.62753373285618,459.031559984137,1.99923508741874,16196.7,28.3258203218835,1135.25,1.48143094148201,9196.38,16.0832149445111,25825.4,489.711,1023.91,1175.96,15351.7,1.12038747586124,16.7982072771815,11428.9,12.4417857803808,
1531,33.5166666666667,797.538,3.45609474196716,122.664,0.531558879236676,464.374626876934,2.01234637879616,15300.1,26.6902368276872,1240.61,1.73621821362829,10046.4,17.5254276289486,24310.6,400.236,1060.32,1195.28,16643.5,1.16705880971712,18.3189445634591,11486.6,12.4826940171832,
1782,37.7,854.497,3.71992606676695,108.525,0.472447505837801,415.226359773436,1.80762642739525,14471.6,25.3734859629732,1261.83,1.83184379504651,10812.6,18.9580526219108,23129.9,421.173,1156.03,1333.74,18006.7,1.25976243442228,19.622470202254,11434.1,11.8731451617928,
2033,41.8833333333333,875.771,3.77814176430119,126.192,0.544401750595414,388.833409401515,1.6774564851034,13748.4,24.0421294944063,1331.15,1.88646183309786,11591.4,20.2701361483126,21993.4,447.836,1282.87,1422.04,19347.9,1.38395505771716,20.8724376290706,11538.2,11.5155948872364,
2284,46.0666666666667,883.356,3.82395499238697,89.7907,0.388694473728508,412.888441771264,1.78735053388453,12955.8,22.7932072877036,1282.52,1.94040569747986,12219.4,21.4976548828606,20738.7,354.841,1255.49,1368.68,20301.8,1.36901838823244,22.1376016648617,11498.7,11.8159985539693,
2535,50.25,969.237,4.20600322637177,108.547,0.47103962417136,304.86401214063,1.32295714945687,12309.7,21.8815786772317,1234.35,1.80826236211166,12849.1,22.8404098054069,19735.1,366.573,1313.72,1471.41,21482.7,1.42121402621977,23.2405037306819,11470.6,10.6427632995109,
2786,54.4333333333333,1000.37,4.35969053330065,79.2469,0.345364174978681,297.1367833528,1.29494529172067,11647.4,20.7522564019091,1235.28,1.91851772176085,13463.5,23.9880148416902,18803.7,373.45,1375.12,1474.09,22522.7,1.48164203689146,24.267394194176,11421.7,10.579400896744,
3036,58.6,1067.78,4.64221024811781,70.8568,0.308052373249952,241.455797615027,1.04973737863224,11064.3,19.7710934972451,1258.55,1.99570482412142,14056,25.1170422166135,17850.4,341.598,1411.8,1536.65,23515.7,1.51751557254782,25.2765554252463,11449.4,10.055357423895,
