,Time (min),,SachCHO,,Imine ester,,Other imines,,Byproducts,,Imine ester assembly that precipitated,,Ester fuel,,Fuel dimer,,Phenol waste,,,
-480,0,2793.12,5.99999685512927,0,0,0,0,0,0,0.00146400099174571,3.14487073360681E-6,1,47.8598662167876,0,0,0,0,21865.7,7.82841410322507,--
0,8,121.757,0.261727539745274,355.47,0.764114494881218,79.3478,0.170565178825037,51.6426,0.11101037840986,2183.01351406812,4.69258240813861,27184.3,24.0737609325988,5010.69,3.80775497511216,17641,15.6224444481548,21850.9,35.9261343065818,
277,12.6166666666667,60.9377,0.257114145355587,178.501,0.753148413217394,92.5022,0.390294088823693,28.6879,0.121042718884148,1061.40964714316,4.47840063371918,10079.9,17.7145439258473,2902.06,4.47271716334776,12208.1,21.4546695603266,11132.3,30.8691374621217,
528,16.8,105.413,0.452309563610951,142.095,0.609705894351722,93.8555,0.402718262903889,49.5507,0.212613771485653,1007.41572906606,4.32265250764778,7520.77,13.3344318839916,3016.24,4.84396340117556,14520.7,25.7454070604308,10946.7,28.0028200561658,
779,20.9833333333333,107.906,0.456205227478195,122.873,0.519482743461237,125.242,0.529498406945157,47.8104,0.202132915758378,1015.34567427179,4.29268070635703,5720.58,10.2326761125283,2915.14,4.77487321543031,16168,28.9204778863957,11109.9,27.5112336484979,
1030,25.1666666666667,167.228,0.702247262890248,115.658,0.485687288799485,128.914,0.541353742484712,62.9255,0.264245581726746,954.070385754579,4.00646612409881,4345.6,7.84984959707218,2827.89,4.6904260326924,17490.7,31.5950304555206,11185.2,23.5614054859071,
1280,29.3333333333333,198.645,0.833872273216376,110.204,0.462614513315399,134.956,0.566518495326785,79.2928,0.332855432483533,906.221819181928,3.80413928565791,3454.66,6.24509586165391,2733.52,4.54303038535566,18552,33.5370248954755,11189.3,21.3904550927188,
1531,33.5166666666667,299.186,1.25805968018406,94.5379,0.397526355642552,142.324,0.598464119051413,87.2419,0.366847101176692,803.602761835673,3.37910274394528,2736.77,4.99611242820419,2601.96,4.40484247468276,19347.5,35.3198424437131,11170.3,17.9215190108999,
1782,37.7,357.999,1.50610648731191,82.6483,0.347702481837382,167.834,0.706079838746776,127.775,0.537551100467541,689.933692603862,2.90256009163639,2242.99,4.10549043615324,2518.92,4.30798994155412,20082.5,36.7583055136436,11164.8,15.1642845025571,
2033,41.8833333333333,495.686,2.08999994933214,70.591,0.297638396935368,166.107,0.700370035836625,117.944,0.497296582965889,572.694044067697,2.41469503492998,1865.4,3.41154374379322,2471.36,4.26155472168147,20763.8,37.9739530327939,11140,13.1008269750026,
2284,46.0666666666667,572.924,2.44252360563104,68.0181,0.289978801481824,160.021,0.682211026063989,128.246,0.546745959896528,478.164811177366,2.03854060692662,1545.9,2.83988127636317,2393.35,4.14677740830338,21233.4,39.00662079923,11017.5,11.856857622251,
2534,50.2333333333333,704.611,2.97056023902597,67.9774,0.286585025769345,172.965,0.729200866496728,164.975,0.695515930681339,312.659705886125,1.31813793802662,1331.93,2.46846748796304,2294.68,4.00076803709393,21647.8,40.1198940529355,11141.3,10.0324314083278,
2785,54.4166666666667,797.98,3.40242805265021,48.5509,0.20701138392117,155.321,0.662257860555006,166.272,0.708950747099245,239.071175372905,1.01935195577437,1153.44,2.14077442658891,2217.01,3.93453084796447,22013.6,40.8570466752997,11016.1,9.43059208017232,
3036,58.6,882.66,3.75622394980702,48.9836,0.208453279255622,151.416,0.644361821747875,219.558,0.934345068284197,107.298334397917,0.456615880905286,1036.68,1.93222792524851,2103.61,3.73824036948105,22398.1,41.7469559483242,11037.4,8.47324648461682,
