,Time (min),,Ester fuel,,Phenol waste,,SachOL,,,
-360,0,1,48,0,0,3813.93,--,29041,7.61445543048771,--
0,6,64150.8,47.6777403980958,433.603,0.322259601904194,3617.27,0,28664.8,7.92442919660407,
273,10.55,25201.9,47.5930477999848,215.493,0.406952200015163,1491.86,0,11312.4,7.58274905151958,
523,14.7166666666667,25069.8,47.4605769904289,284.936,0.539423009571072,1497.99,0,11289.5,7.53643215241757,
773,18.8833333333333,25132.7,47.3334051879645,353.943,0.666594812035465,1497.71,0,11319.9,7.55813875850465,
1023,23.05,25055.6,47.2162015564987,415.928,0.783798443501309,1501.87,0,11341.4,7.55151910618096,
1274,27.2333333333333,24880.1,47.0725960146198,490.177,0.927403985380215,1491.85,0,11305.4,7.57810771860442,
1524,31.4,24837.4,46.9687484007337,545.333,1.03125159926632,1493.35,0,11356.1,7.60444637894666,
1774,35.5666666666667,24787.4,46.8232032457922,622.976,1.17679675420781,1480.91,0,11352.6,7.66596214489739,
2025,39.75,24689.6,46.7079674492469,682.962,1.29203255075305,1494.14,0,11359.7,7.60283507569572,
2275,43.9166666666667,24662.9,46.6268807209365,726.3,1.37311927906354,1492.95,0,11316.5,7.57995914129743,
2525,48.0833333333333,24314,46.4615168904664,805.111,1.53848310953361,1484.66,0,11338.8,7.63730416391632,
2775,52.25,24460.1,46.325053150608,884.389,1.67494684939199,1478.34,0,11329.4,7.66359565458555,
3026,56.4333333333333,24306.7,46.2121273634459,940.387,1.78787263655407,1477.92,0,11328.1,7.66489390494749,
