,Time (min),,Ester fuel,,Fuel dimer,,Phenol waste,,,
-480,0,1,48,0,0,0,0,--,--,--
0,8,63100.1,46.9984548320396,391.628,0.291693846269055,953.046,0.709851321691345,24719.4,0,
273,12.55,26812.4,46.5083130396245,282.702,0.490369870393099,577.267,1.00131708998243,10696.8,0,
523,16.7166666666667,26556.4,46.2896581055795,229.402,0.399863691943793,751.822,1.31047820247673,10707.3,0,
773,20.8833333333333,26421.6,45.9733621785275,258.328,0.44948855121774,906.412,1.57714927025477,10699.1,0,
1023,25.05,26086.9,45.7071154131574,222.692,0.390180854972681,1085.95,1.90270373186995,10741.3,0,
1274,29.2333333333333,26014.4,45.217561846958,335.282,0.582778559996454,1265.5,2.19965959304559,10747.7,0,
1524,33.4,25767.8,45.0427380992873,273.574,0.478213973749192,1418.2,2.47904792696347,10807.7,0,
1774,37.5666666666667,25643.9,44.5236888403758,409.769,0.711452916772875,1592.45,2.76485824285137,10776.8,0,
2025,41.75,25259.7,44.2113616103733,365.829,0.640300486805515,1798.77,3.14833790282114,10758.2,0,
2275,45.9166666666667,25292.9,43.7841210526473,486.329,0.841876092002614,1949.07,3.37400285535005,10762.1,0,
2525,50.0833333333333,25094.6,43.5565186079656,436.742,0.758049980867602,2123.32,3.68543141116677,10846.4,0,
2776,54.2666666666667,24864.5,43.1850411581778,453.942,0.788413358540311,2318.35,4.02654548328185,10815.5,0,
3026,58.4333333333333,24590,42.9640381478376,414.338,0.723937927535533,2467.94,4.31202392462686,10806.6,0,
