,Time (min),,Ester fuel,,Fuel dimer,,Phenol waste,,SachOL,,,
-360,0,1,48,0,0,0,0,4209.08,--,26087.3,6.19786271584289,--
0,6,37053.3,35.0989744765718,2854.46,2.70390541960892,10764.9,10.1971201038193,3532.66,0,22125.8,6.26321242349957,
271,10.5166666666667,14992.6,28.9133112680165,2011.06,3.87834023175815,7886.08,15.2083485002254,1879.71,0,11185.2,5.95049236318368,
521,14.6833333333333,12288.1,24.0404191909641,2290.86,4.48183484084699,9955.92,19.477745968189,1887.81,0,11225.5,5.94630815601146,
771,18.85,10209.6,20.1050007241005,2473.07,4.8700315527299,11692.4,23.0249677231696,1866.39,0,11194,5.9976746553507,
1021,23.0166666666667,8541.46,16.9230325982643,2527.69,5.00806422652646,13157.6,26.0689031752092,1897.77,0,11184.2,5.89333797035468,
1272,27.2,7104.24,14.1658408191344,2604.6,5.19356736223966,14363.4,28.6405918186259,1892.66,0,11141,5.88642439740894,
1522,31.3666666666667,5994.07,12.0080032386907,2598.33,5.20527038476146,15367.9,30.7867263765479,1900.92,0,11187.9,5.88551859099804,
1772,35.5333333333333,5066.26,10.2185473958891,2540.29,5.12371527799663,16191.4,32.6577373261142,1878.06,0,11254.6,5.9926732905232,
2023,39.7166666666667,4304.8,8.71278478413309,2505.47,5.07099537565088,16905.5,34.216219840216,1908.11,0,11173.4,5.85574206937755,
2273,43.8833333333333,3673.66,7.4502042159708,2458.21,4.98526442450896,17536.7,35.5645313595202,1859.77,0,11181.1,6.01208751619824,
2523,48.05,3154.18,6.41194497100661,2405.7,4.89040448444623,18052.4,36.6976505445472,1874.6,0,11158.2,5.95230982609623,
2773,52.2166666666667,2689.16,5.50267354374675,2303.27,4.71304901646074,18465.2,37.7842774397925,1889.29,0,11214.3,5.9357218849409,
3024,56.4,2303.22,4.72107155149663,2251.54,4.61513943134252,18862.5,38.6637890171608,1886.85,0,11157.4,5.91324164612979,
