,Time (min),,Ester fuel,,Phenol waste,
-420,0,1,48,0,0,--
0,7,74278.9,47.6808984999694,497.107,0.319101500030618,
273,11.55,40174.9,47.5387774555982,389.778,0.461222544401807,
524,15.7333333333333,40118.8,47.411605791196,497.888,0.588394208804026,
774,19.9,40053.6,47.2827456706139,607.592,0.717254329386113,
1024,24.0666666666667,39875.7,47.1597248433587,710.491,0.840275156641332,
1274,28.2333333333333,39865.8,47.0304686200465,821.832,0.969531379953495,
1525,32.4166666666667,39625.2,46.9493377733063,886.758,1.05066222669366,
1775,36.5833333333333,39545.7,46.8213321589564,995.513,1.17866784104363,
2025,40.75,39471.5,46.6886051269363,1108.68,1.31139487306365,
2275,44.9166666666667,39346,46.6026202080206,1179.79,1.39737979197938,
2526,49.1,39143.1,46.495363378348,1266.71,1.50463662165202,
2776,53.2666666666667,39175.1,46.33674286845,1406.19,1.66325713155003,
3026,57.4333333333333,39193.8,46.079125298664,1633.85,1.92087470133598,
