,Time (min),,Ester fuel,,Fuel dimer,,Phenol waste,
-360,0,1,48,0,0,0,0,--
0,6,71502,45.8725975032746,1284.3,0.823951455532091,2031.7,1.3034510411933,
285,10.75,36824.3,44.3688649954478,1240.69,1.49488264844687,1773,2.13625235610532,
535,14.9166666666667,35772.3,43.8006933337415,1102.92,1.35044883028629,2326.68,2.84885783597224,
786,19.1,34856.3,42.7426371180606,1363.97,1.67257209600334,2923.37,3.58479078593611,
1036,23.2666666666667,34167.8,41.269425553684,1919.38,2.31831461256592,3653,4.41225983375012,
1286,27.4333333333333,33205.6,40.5840613730407,1984.31,2.42523426238762,4083.36,4.99070436457163,
1536,31.6,32684,38.8267089046181,2922.97,3.4723199524823,4799.03,5.70097114289957,
1787,35.7833333333333,32015,38.0634956334182,2985.01,3.54895877247258,5372.53,6.38754559410926,
2037,39.95,31167.8,37.2961103765175,3076.08,3.68090847627994,5869,7.02298114720259,
2287,44.1166666666667,30429.2,36.6165043335082,3093.4,3.72239475586851,6366.56,7.66110091062334,
2537,48.2833333333333,29826.7,35.9194102286709,3171.72,3.81960833114223,6859.74,8.2609814401869,
2788,52.4666666666667,29174,35.2569738388517,3206.06,3.87454492170387,7338.38,8.86848123944445,
3038,56.6333333333333,28516.1,34.4243514371597,3446.91,4.16107536487319,7798.75,9.41457319796709,
