,Time (min),,Ester fuel,,Fuel dimer,,Phenol waste,
-360,0,1,48,0,0,0,0,--
0,6,70249.5,46.1221374321451,957.118,0.628393482299232,1903.09,1.24946908555564,
272,10.5333333333333,36697,44.8996278985804,935.351,1.14442357289602,1598.62,1.95594852852355,
522,14.7,35848.5,44.0757310530207,1011.92,1.24415564855357,2179.84,2.68011329842578,
773,18.8833333333333,34961.8,43.1600185482234,1166.65,1.44021862831104,2753.98,3.39976282346551,
1023,23.05,34115.2,42.2860333112374,1289.33,1.59813371544583,3320.54,4.11583297331677,
1273,27.2166666666667,33334.3,41.4748011600165,1368.48,1.70267369920651,3875.98,4.82252514077695,
1524,31.4,32541.5,40.5558938115595,1577,1.96538710695049,4396.05,5.47871908148998,
1774,35.5666666666667,31810.2,39.7537432925353,1673.23,2.09106374337064,4925.27,6.15519296409407,
2024,39.7333333333333,31073.1,38.8111750544108,1937.28,2.41971715758675,5419.5,6.76910778800246,
2274,43.9,30418.1,38.0842540506956,2021.52,2.5309957311128,5898.24,7.38475021819163,
2525,48.0833333333333,29729.7,37.4948035026402,1973.36,2.48878210812656,6356.23,8.01641438923322,
2775,52.25,29030.3,36.7149153592725,2092.05,2.64583689033066,6831.01,8.6392477503968,
3025,56.4166666666667,28408.9,36.0898310804105,2105.6,2.67489231624288,7269.75,9.23527660334663,
