,Time (min),,Ester fuel,,Fuel dimer,,Phenol waste
-360,0,1,48,0,0,0,0
0,6,46426.5,34.8619490147171,5386.16,4.04450120739467,12110.1,9.09354977788819
272,10.5333333333333,21826.4,27.3731388909573,4637.35,5.81583887567263,11809.8,14.81102223337
522,14.7,16940.8,21.462904254766,5517.59,6.99043173209378,15428.3,19.5466640131402
772,18.8666666666667,12849.4,16.1835268248972,6439.15,8.10996285854103,18822.5,23.7065103165617
1022,23.0333333333333,10261.5,13.0461661034673,6456.94,8.20916160016782,21036.1,26.7446722963649
1273,27.2166666666667,8396.51,10.6944767876911,6425.83,8.1844587544884,22863.7,29.1210644578205
1523,31.3833333333333,6925.81,8.85923931379305,6294.03,8.05108976685657,24304.7,31.0896709193504
1773,35.55,5824.27,7.46047295079474,6177.35,7.91274315623965,25471.2,32.6267838929656
2023,39.7166666666667,4907.15,6.31909352260131,5972.99,7.69160967558815,26394.7,33.9892968018106
2274,43.9,4183.64,5.40176938018433,5811.49,7.50359226301676,27180.6,35.0946383567989
2524,48.0666666666667,3633.38,4.69115540274827,5665.84,7.31531959968604,27877.6,35.9935249975657
2774,52.2333333333333,3061.09,3.98630142560997,5466.92,7.11929116415907,28331.3,36.894407410231
3025,56.4166666666667,2787.39,3.60389526957958,5358.64,6.92833702760644,28979,37.467767702814
