,Time (min),,Ester fuel,,Phenol waste,
-420,0,1,48,0,0,--
0,7,74762.6,47.3623348388269,1006.57,0.637665161173073,
278,11.6333333333333,40140.5,47.2289042038942,655.365,0.771095796105806,
528,15.8,39923.8,47.0925879066561,769.279,0.907412093343932,
779,19.9833333333333,39843.4,46.8425963493315,984.465,1.15740365066848,
1030,24.1666666666667,39532.7,46.7720253651597,1037.91,1.22797463484034,
1281,28.35,39378.4,46.6112525630893,1173.25,1.38874743691071,
1532,32.5333333333333,39174.6,46.4905115516651,1271.95,1.5094884483349,
1782,36.7,39026.4,46.3265125439643,1409.78,1.67348745603566,
2033,40.8833333333333,38818.7,46.1290947886904,1574.41,1.87090521130955,
2284,45.0666666666667,38693,45.9924981223018,1688.89,2.00750187769815,
2535,49.25,38465.9,45.8491284295342,1804.51,2.15087157046576,
2786,53.4333333333333,38294.4,45.6956138573618,1931.15,2.3043861426382,
3037,57.6166666666667,38144.6,45.5283271938973,2070.82,2.47167280610273,
