,Time (min),,Ester fuel,,Phenol waste,
-420,0,1,48,0,0,--
0,7,78169.7,47.2873418764835,1178.08,0.712658123516499,
289,11.8166666666667,39220.4,47.1971263436607,667.181,0.8028736563393,
540,16,39056.9,47.0390623718002,797.874,0.960937628199824,
790,20.1666666666667,38905.9,46.9240888805267,892.064,1.07591111947335,
1041,24.35,38745.7,46.7438444594354,1041.22,1.25615554056459,
1291,28.5166666666667,38612.4,46.598311906787,1161.47,1.40168809321296,
1542,32.7,38513.6,46.387920514965,1338.43,1.61207948503502,
1793,36.8833333333333,38257.2,46.2736698445689,1427.26,1.72633015543112,
2044,41.0666666666667,38091.6,46.1340301390685,1540.68,1.86596986093154,
2295,45.25,37963.8,45.982124562829,1666,2.01787543717102,
2546,49.4333333333333,37795.5,45.8444942657235,1777.06,2.15550573427648,
2797,53.6166666666667,37654.6,45.6714412997082,1919.82,2.32855870029175,
3047,57.7833333333333,37426.5,45.5666612724774,1998.64,2.43333872752259,
