,Time (min),,Aldehyde,,Imine ester,Intermediate 1,Intermediate 2,,Ester fuel,,,,Phenol waste,,,,,,Fuel dimer,Alanine waste
-360,0,3692.28,6,0,0,0,0,1,48,0,0,0,0,1,0,0,0,0,0,0
0,6,3174.99,5.48402660668092,298.724,0.515973393319082,0,0,54736.6,42.9805152724523,1223.94,0.730488831311443,4834.87,3.81729081192149,84201.5,1149.7,531.518,797.085,7804.89,0.270021134534458,3.96503082250582
280,10.6666666666667,1348.14,5.496629518891,123.46,0.503370481108997,0,0,22252.2,40.842462984122,635.165,0.9444411440186,3119.38,5.75736179210432,36003.9,546.197,471.279,560.055,5618.77,0.523640896948605,6.24304873025938
531,14.85,1363.91,5.59842254173252,97.8339,0.401577458267484,0,0,21108.6,38.8966543995434,707.981,1.12954857374685,4111.53,7.61156260091605,34259.3,467.696,577.954,675.183,7254.2,0.641661153879719,8.05382148488332
782,19.0333333333333,1375.7,5.62638773256343,91.3514,0.373612267436574,0,0,20090.1,37.1105485641823,773.067,1.26502114641116,5003.87,9.2853990196094,32493.1,386.847,628.454,720.433,8656.34,0.703408408696208,9.68876376717044
1032,23.2,1390.11,5.67860224845323,78.6775,0.321397751546769,0,0,19122.5,35.5167240160562,781.069,1.30995996506078,5833.7,10.8798489847544,31055.7,386.444,759.001,815.024,10090.9,0.845152520112188,11.2362823832908
1283,27.3833333333333,1393.57,5.71806728228942,68.7108,0.281932717710579,0,0,18249.9,33.9205760523664,857.281,1.47123244511034,6620.48,12.3518045422007,29645,265.75,784.798,887.03,11335.6,0.877723746800249,12.677816844881
1534,31.5666666666667,1424.86,5.77559429104438,55.3617,0.224405708955625,0,0,17315.9,32.6283135679741,780.356,1.37048688425864,7295.98,13.7918944987751,28383.6,471.436,1052.68,1037.96,12777.1,1.15565946681885,14.0270325013215
1785,35.75,1404.55,5.81730943795346,44.1094,0.182690562046538,0,0,16610.8,31.3379503725337,807.621,1.44427690522896,7956.6,15.0508959184704,27185.7,312.776,1028.29,1094.96,13841.9,1.13561441008166,15.2866031011771
2035,39.9166666666667,1413.54,5.78947943260475,51.4,0.210520567395252,0,0,15882.9,29.9795803579921,885.263,1.57905838461652,8579.49,16.2466923466248,26005.5,315.365,1105.84,1140.19,14884.4,1.22160501775609,16.4425755319836
2286,44.1,1418.39,5.82715925626781,42.0712,0.172840743732185,0,0,15202.4,28.7807848763673,915.504,1.65814883386719,9166.18,17.4013280449472,25016.7,300.954,1185.42,1206.2,15886,1.30519101680609,17.4910702476603
2537,48.2833333333333,1404.2,5.8237883075208,42.4872,0.176211692479204,0,0,14586.6,27.6374768614649,956.51,1.73687349192254,9716.7,18.464176888108,23816.9,253.56,1123.76,1142.01,16727.9,1.25256170274426,18.6451972906454
2788,52.4666666666667,1411.93,5.83839618087107,39.0815,0.161603819128932,0,0,13952.9,26.6186787226668,945.624,1.73431639603055,10191.5,19.4974703890279,22847.1,142.555,1125.93,1189.17,17533.7,1.26159171706823,19.6463107738129
3038,56.6333333333333,1437.36,5.86086002855485,34.1237,0.139139971445148,0,0,13412.8,25.6341618902562,956.288,1.7669094031085,10682.5,20.4681635351819,22113.6,221.104,1263.63,1316.07,18473.6,1.39794953462252,20.4372803137015
