,Time (min),,Aldehyde,,Imine ester,,Other imines,,Byproducts,,Imine ester aggregate that precipitated,,Ester fuel,,Fuel dimer,,Phenol waste,,,
-420,0,3521.08,5.99999937137512,0,0,0,0,0,0,3.68906455605611E-4,6.28624882814677E-7,1,47.9646110906561,0,0,0,0,21486.9,6.10236063934929,21486.9
0,7,546.611,0.977560926863055,753.526,1.34760839971279,223.74,0.400137358699953,-18.8068,-0.0336341435487542,1849.87772178764,3.30832745827295,23262.7,23.2476224026487,5022.05,4.40855955747836,14490.8,14.9661931935975,20473.1,13.6027542104016,0.478616873424187
279,11.65,192.133,0.620997899337936,186.968,0.604303972994827,97.6245,0.315534600635582,-26.4093,-0.0853581624342791,1406.04756746046,4.54452168946593,9373.97,17.5575241605674,2692.71,4.78879026097398,10237.3,19.5647766364889,11328.2,25.156101423844,0.507900383698335
530,15.8333333333333,174.377,0.562159242284326,142.384,0.459019719076549,100.423,0.323745204860267,-23.1823,-0.0747354536573512,1467.14710144731,4.72981128743621,7411.53,14.040246883682,2616.62,4.77894986405471,11888.9,22.963232706484,11357.4,28.8257639497495,0.518199301457085
781,20.0166666666667,191.498,0.615446729603427,141.061,0.453349544771167,107.759,0.346321758636308,-4.21933,-0.0135603131605428,1430.81839159584,4.59844228014964,5960.24,11.3489333484212,2587.08,4.7703819731223,13203.1,25.7495261603982,11392.6,26.123904482442,0.523787586630511
1032,24.2,199.368,0.639398401513599,102.387,0.328368063760347,112.818,0.361821600567599,55.0206,0.176458025813165,1401.23997913987,4.49395390834529,4970.19,9.53516103958818,2527.45,4.75026746894786,14204.4,27.8238953940261,11416.5,24.3114471747486,0.52605653662052
1282,28.3666666666667,222.805,0.718263197548799,82.485,0.265909381969941,103.747,0.334452332560289,88.2058,0.284351697450012,1363.95516275539,4.39702339047096,4135.7,7.98242295118809,2421.33,4.606133651255,15087.9,29.7141896606104,11357.7,22.8413563755976,0.52472796169819
1533,32.55,286.806,0.925163495582612,106.049,0.342087207181999,118.499,0.382247753056226,36.5242,0.11781781603369,1312.15627846407,4.23268372814547,3514.82,6.7674592607,2313.08,4.381635604035,15725.4,31.2197574604489,11350.6,20.7173784246207,0.526629332863181
1784,36.7333333333333,318.562,1.03006871062755,81.6084,0.263880372939577,120.44,0.389442166699048,65.0314,0.210278722346998,1269.93538653111,4.10633002738683,3055.23,5.86518660662251,2265.27,4.30706542140933,16475.4,32.4961640777523,11323.4,19.335026973826,0.519519726187035
2035,40.9166666666667,378.817,1.2321390657037,64.0404,0.208297617644645,129.922,0.42258391702156,68.4176,0.222534885556059,1203.48276323914,3.91444451407403,2660.2,5.17496032892565,2125.04,4.10821860409955,16888.3,33.6636786594303,11256.9,17.556070911124,0.519384466035544
2285,45.0833333333333,433.572,1.4075966110587,84.5726,0.274565943253768,135.739,0.440678264252527,123.609,0.401298076205001,1070.64484190772,3.47586110523,2324.28,4.49458032231742,2060.05,3.96433116630448,17393.4,34.9045743109997,11278,14.5056042977129,0.517868483078815
2536,49.2666666666667,552.952,1.77107554633028,66.2812,0.212295122364015,135.369,0.433579633731651,148.272,0.474907249463758,970.401057441384,3.10814244811029,2167.73,4.20738861659264,2014.65,3.90090146856981,17851.2,35.7405498875436,11431.4,12.6611215604566,0.518817187220597
2786,53.4333333333333,605.583,1.964134048072,77.2094,0.250419201614329,134.587,0.436516396807484,72.4743,0.23506148660082,960.069936101442,3.11386886690537,1909.77,3.67577330429445,1901.34,3.6588643033287,18199.2,36.5041862842165,11288.9,12.6862426936023,0.512891458593723
3037,57.6166666666667,675.311,2.16550433117244,57.819,0.185406864280397,141.263,0.452984829707219,63.8746,0.204825218235608,932.828172782989,2.99127875660434,1746.71,3.38129342453555,1838.21,3.56448366496255,18524.5,37.0875148501643,11418.1,12.1693427333524,0.516435980681538
