,Time (min),,Aldehyde,,Imine ester,Intermediate 1,Intermediate 2,,Ester fuel,,,,Phenol waste,,,,,,Fuel dimer,Alanine waste,,,
-360,0,3950.52,6,0,0,0,0,1,48,0,0,0,0,1,0,0,0,0,0,0,26207.1,6.63383554570031,--
0,6,3171.44,5.59751162088812,228.042,0.402488379111876,0,0,52292.2,44.3616368308509,853.651,0.53305460651283,3188.4,2.71669894040128,80912.8,970.867,86.7892,479.909,5471.52,0.0473816227953219,2.98711702328239,21992.4,6.46933856393415,
275,10.5833333333333,1534.64,5.5193347911152,133.648,0.480665208884797,0,0,25263.7,42.7733659187147,463.125,0.560796304074514,2473.96,4.21087852696299,40813.9,477.65,135.497,323.874,4570.84,0.140406060987189,4.73644169097975,11235.7,6.73486832009821,
526,14.7666666666667,1562.1,5.67675287748792,88.9495,0.323247122512075,0,0,24376.8,41.4249222849754,479.095,0.665425168741584,3286.99,5.60623120195389,39508.9,419.564,182.949,385.348,6034.5,0.188723705553563,6.22497636588873,11188.3,6.77647762832065,
777,18.95,1569.35,5.676907338615,89.3172,0.323092661384996,0,0,23393.4,40.105646612839,451.364,0.623071980250139,4046.47,6.96385681608781,37647.8,180.382,74.7259,255.1,7160.78,0.0791469358782211,7.58443585822383,11176.5,6.73824140249473,
1028,23.1333333333333,1582.94,5.63755855614148,101.768,0.36244144385852,0,0,22573.8,38.7978242293336,441.371,0.586322478614946,4786.84,8.26444964718559,36618.7,377.806,285.629,432.305,8645.47,0.295733792408139,8.95132367599505,11200.6,6.6483924810709,
1278,27.3,1584.43,5.76089746712926,65.7608,0.239102532870744,0,0,21786.4,37.6934497880692,433.051,0.637386155346196,5440.28,9.44092478701257,35651.8,516.169,442.859,636.514,10075.9,0.449192217219606,10.219992958217,11343.9,6.87429599050001,
1529,31.4833333333333,1596.73,5.74259164629916,71.5725,0.257408353700843,0,0,21062.3,36.3138927938963,531.545,0.79575098353025,6151.87,10.6427158211637,34354.1,472.855,451.234,610.708,11120.3,0.460744564515748,11.3546802341678,11093.8,6.64975326716827,
1780,35.6666666666667,1595.33,5.74398020975053,71.1068,0.256019790249471,0,0,20383.9,35.2182179080428,520.745,0.779580432462637,6780.29,11.7556324405313,33073.9,256.244,360.908,549.449,12059.7,0.37415785732766,12.502442483997,11229.4,6.73856938348937,
2030,39.8333333333333,1606.74,5.72678800843938,76.6539,0.27321199156062,0,0,19673.2,34.2051926655767,493.669,0.727887545446324,7332.88,12.7993255502077,32074.3,352.363,455.73,609.235,13193.5,0.468565492633971,13.5650907929395,11272.3,6.69617491188485,
2281,44.0166666666667,1592.14,5.82074202816743,49.0322,0.179257971832572,0,0,19058.4,33.1702160901619,555.151,0.883147200891839,7894.55,13.7755201640419,30771,193.809,343.875,491.268,13989.6,0.360475245531994,14.6649349179044,11120.4,6.7758885996241,
2531,48.1833333333333,1583.28,5.80293414785653,53.7677,0.197065852143465,0,0,18448.8,32.2107248947141,536.226,0.844811323026133,8427.01,14.7561633145382,30035.7,234.296,443.904,634.653,14993.3,0.459787225167712,15.5297717594504,11187,6.83364327135978,
2782,52.3666666666667,1606.68,5.86021675327233,38.324,0.139783246727668,0,0,17856.9,31.368556706986,512.251,0.834320653596099,8896.74,15.6621883363357,29112.4,250.437,475.405,628.809,15895.8,0.492192337352162,16.4571070057793,11182.3,6.79773423043348,
3033,56.55,1634.79,5.81905883942858,50.8331,0.180941160571423,0,0,17282.8,30.4513762521692,516.184,0.822342302966329,9363.48,16.5466225744469,28332.4,303.947,566.481,736.133,16834.7,0.581333327746143,17.2760819385081,11329,6.72095677853489,
