,Time (min),,Aldehyde,,Imine ester,,Other imines,,Byproducts,,Imine ester aggregate that precipitated,,Ester fuel,,Fuel dimer,,Phenol waste,,,,,,,,,,,,,,,,,,,,,,
-360,0,3849.35,5.99999765994887,0,0,0,0,0,0,0.00150127988536042,2.34005112531577E-6,1,47.8563085731032,0,0,0,0,21594.4,5.60988218790185,--,,,,,,,,,,,,,,,,,,,
0,6,1066.68,1.65216442598464,1328.57,2.05780186319272,226.271,0.350467709933598,5.60192,0.00867672867327771,1246.6319553271,1.93088927221576,29013.5,23.5979038660431,5615.57,3.65412568764763,19191,16.3579020461035,21731.3,8.27190073009602,,,,,,,,,,,,,,,,,,,,
294,10.9,462.034,1.41403804070885,510.324,1.56182780723216,217.545,0.665788460515907,19.3638,0.059262196748893,751.220768361534,2.29908349479419,9489.35,15.6541455968814,3032.02,4.39635616770387,13508.4,23.550712558457,10998.1,9.09484987101275,,,,,,,,,,,,,,,,,,,,
545,15.0833333333333,533.17,1.63280122987899,352.414,1.07924679300519,226.879,0.694803365218815,49.3776,0.151215946149395,797.381344141408,2.44193266574761,6671.07,11.2238908452685,3082.48,4.8494431069485,15674,27.8418804740657,10991,9.45998960614735,,,,,,,,,,,,,,,,,,,,
796,19.2666666666667,633.784,1.93035264184161,231.772,0.705921406196612,217.175,0.661462477739974,62.5263,0.190439973854785,824.695711472616,2.51182350036702,4760.98,8.15833068675868,2991.58,4.97116191085993,17245.9,31.0645382571901,11051.2,9.6495346504231,,,,,,,,,,,,,,,,,,,,
1047,23.45,696.518,2.12557974786393,159.244,0.485968519648945,211.162,0.644407855530572,116.834,0.356544962602452,782.344661732515,2.3874989143541,3461.69,5.99848075581569,2900.68,4.97947614867899,18499.2,33.6014866550386,11029.6,9.31744495074162,,,,,,,,,,,,,,,,,,,,
1297,27.6166666666667,786.182,2.3976442509568,101.415,0.309288551138011,162.18,0.494605504349087,25.8417,0.0788102544193969,891.767411645882,2.71965143913671,2558.86,4.43374801169353,2794.64,4.85914475758087,19467.4,35.1232870085974,11036.8,10.2608852003038,,,,,,,,,,,,,,,,,,,,
1549,31.8166666666667,864.291,2.63337431842277,81.5103,0.248350533219639,166.353,0.506854425179231,73.9048,0.225177633838801,783.180883742968,2.38624308933956,1954.67,3.39697046136901,2729.36,4.8018688513557,20217.8,36.6649300611508,11047.2,9.31420702391643,,,,,,,,,,,,,,,,,,,,
1799,35.9833333333333,929.883,2.83532858630673,63.2206,0.192767449693632,135.611,0.413494756778694,308.208,0.939764414370867,530.855676897188,1.61864479285008,1525.01,2.70710499627058,2581.44,4.6635201482823,20751,38.4290211555856,11039,7.68239013012949,,,,,,,,,,,,,,,,,,,,
2049,40.15,1018.67,3.10582607996522,45.4591,0.138600389087483,129.222,0.393985351198391,149.31,0.455231715864418,625.259782443118,1.90635646388449,1202.06,2.131047041056,2456.46,4.44228975952582,21142.4,38.955052655434,11039.8,8.22232803199557,,,,,,,,,,,,,,,,,,,,
2300,44.3333333333333,1098.9,3.34015268399285,43.9712,0.13365230839784,122.702,0.372957880272355,131.332,0.399189127576803,577.07641814513,1.75404799976015,1013.98,1.78253079371776,2380.67,4.2940203909937,21571.6,39.6409200305832,11073.8,7.92738118520856,,,,,,,,,,,,,,,,,,,,
2551,48.5166666666667,1165.66,3.58755326885201,40.0204,0.123170836127829,117.37,0.361229798710739,154.009,0.47399369574544,472.447541324948,1.45405240056398,858.512,1.51350123277225,2272.38,4.12793363620465,21882.3,40.4633206081677,10936.5,7.40423844836572,,,,,,,,,,,,,,,,,,,,
2802,52.7,1235.51,3.80503573264528,53.2492,0.163993094944416,88.3778,0.272179656152178,281.662,0.867442573939777,289.424491411581,0.891348942318354,767.486,1.33147896447947,2211.7,4.023780118952,22190.3,41.3671175518944,10929.3,6.58868253477365,,,,,,,,,,,,,,,,,,,,
3052,56.8666666666667,1300.32,3.96494469182059,17.8669,0.0544798744265176,102.416,0.312287571949596,173.218,0.528177517555509,373.903899817465,1.14011034424778,646.852,1.1640444343476,2144.48,3.93566102450708,22397.4,41.4502168872631,11038.7,6.925935028208,,,,,,,,,,,,,,,,,,,,
