,Time (min),,Ester fuel,Fuel dimer,,Phenol waste,,,,Alanine waste
-480,0,1,48,0,0,0,0,0,1,0
0,8,76573.7,47.2956092675027,0,1140.44,0.704390732497329,2472.45,1.01806955593924,119464,0.973274193237543
276,12.6,41835.4,47.2233956285289,0,687.997,0.776604371471075,1576.33,1.18623072375897,68478.8,1.08006137452032
527,16.7833333333333,41691.8,47.1571295651659,0,745.185,0.842870434834143,1793.94,1.35273700523258,68464.7,1.22560186192047
778,20.9666666666667,41658.8,47.0326385590919,0,856.833,0.967361440908101,1952.48,1.46956203145323,68372.1,1.33266405572561
1028,25.1333333333333,41563.8,46.941170200889,0,937.535,1.05882979911102,2100.5,1.58150326336808,68298.8,1.43217333126892
1279,29.3166666666667,41632,46.8084159467589,0,1059.81,1.19158405324113,2280.15,1.70910532957024,68230.1,1.55221687626976
1530,33.5,41452.5,46.7458654629126,0,1112.12,1.25413453708737,2312.95,1.73887139131044,67604.9,1.58788635520114
1781,37.6833333333333,41421.4,46.6153065954294,0,1230.41,1.38469340457064,2447.17,1.83601680678968,67406.6,1.68157223296609
2032,41.8666666666667,41415.9,46.4661945165136,0,1367.1,1.53380548348643,2823.97,2.11221840450646,67992.5,1.91411065815622
2282,46.0333333333333,41273.1,46.3922205853529,0,1430.37,1.6077794146471,2861.07,2.14395317289204,67523.5,1.95115719254945
2533,50.2166666666667,41260.6,46.2994025638604,0,1515.52,1.7005974361396,3039.11,2.27350026136078,67461.5,2.06916337319635
2784,54.4,41099,46.1729557238608,0,1626.27,1.82704427613916,3199.18,2.39609392755154,67270.3,2.1791084594352
3034,58.5666666666667,41067.9,46.0679200977418,0,1722.38,1.93207990225818,3247.48,2.42857396586328,66722.4,2.22780201995487
