,Time (min),,Ester fuel,,,,Phenol waste,,,,,,Alanine waste,Fuel dimer
-420,0,1,48,0,0,0,0,0,0,1,0,0,0,0
0,7,81352.1,46.5540130280632,1048.78,0.600167884831149,1478.05,0.845819087105665,3550.96,1.35469920753639,128897,828.732,949.278,1.26984427827193,0.296359460095539
274,11.5666666666667,41052.2,46.3322938438629,519.414,0.586220521058949,958.238,1.08148563507816,2004.61,1.50829398606889,67215.9,367.135,419.793,1.37444366982834,0.251722966922458
525,15.75,40833.4,45.9151232221682,689.17,0.774937317760011,1164.96,1.30993946007183,2269.2,1.70106820422732,66690.1,231.555,431.066,1.56447277575119,0.159642822840237
776,19.9333333333333,40516.7,45.8343691307757,533.796,0.603854778511863,1380.58,1.56177609071238,2595.81,1.95766706458257,66197.9,398.505,489.702,1.78810924504273,0.274507947305755
1027,24.1166666666667,40365.1,45.0411847834949,946.797,1.05647845860554,1704.84,1.90233675789961,2968.56,2.20830138743438,65826.5,385.028,487.557,2.04529491415994,0.265278724435138
1278,28.3,40008.1,45.3782886307088,499.361,0.566388995951304,1812.09,2.05532237333993,3354.44,2.5364654743147,65352,632.65,599.286,2.3022141663684,0.434199387186228
1528,32.4666666666667,39724,44.7565768215468,797.712,0.898772993894615,2081.01,2.34465018455863,3656.34,2.7463709947923,64866.5,567.94,626.798,2.51736111658956,0.391022189554548
1779,36.65,39465.2,44.6153517512118,710.003,0.802657368755653,2283.94,2.5819908800326,4020.57,3.03016572896914,64405.2,664.027,683.918,2.76590346379005,0.45680950197363
2030,40.8333333333333,39226,44.2169712893618,833.661,0.939732945038001,2522.36,2.84329576560023,4348.59,3.26792568159224,64043.7,752.518,711.405,2.9880279940168,0.517074465516761
2281,45.0166666666667,38965.9,44.1496481578655,695.86,0.788432300219738,2702.41,3.06191954191478,4688.98,3.54184585700605,63532.1,834.525,783.752,3.22269633725293,0.573561981677466
2531,49.1833333333333,38745.9,43.7070601727303,854.181,0.963553314425601,2951.47,3.32938651284415,5035.41,3.78677430582965,63226.3,900.83,820.06,3.45371106532195,0.617865583730813
2782,53.3666666666667,38371.7,43.4964889505166,830.724,0.941672568245059,3142.18,3.56183848123837,5405.85,4.08522417637912,62860.9,920.168,839.295,3.70548097467444,0.63073615018993
3033,57.55,38157.2,43.002053200069,1069.1,1.20484456606339,3365.75,3.79310223386759,5712.4,4.29180563039347,62330.6,1075.3,882.516,3.91702862435204,0.737339976151135
