,Time (min),,Ester fuel,,,,Phenol waste,,,,,Fuel dimer,Alanine waste
-420,0,1,48,0,0,0,0,1,0,0,0,0,0
0,7,75629.6,45.2457216727286,1659.56,0.992838648613683,2944.3,1.76143967865776,119491,2397.14,2969.44,4297.73,0.890886483877434,1.59723235537122
282,11.7,37068.3,43.8535279806552,1350.21,1.59736141163098,2154.7,2.54911060771381,60483,1457.22,1907.36,2727.45,1.05064256073185,1.96646700722478
533,15.8833333333333,36004.6,42.50216234096,1843.56,2.17625765611339,2813.79,3.32158000292657,59352.5,2483.06,2700.51,3582.56,1.74969578806855,2.52446181022725
784,20.0666666666667,35027.7,41.5893156448073,1961.69,2.32916647702424,3437.57,4.08151787816843,57233.4,2711.77,3086.44,4082.75,1.93945021601934,2.91997122523406
1035,24.25,34145.1,40.4013401010524,2355.82,2.78746540607177,4066.17,4.81119449287588,55500.2,3023.57,3443.56,4617.77,2.17963718609719,3.32886726910375
1286,28.4333333333333,33189.9,39.6319889864373,2407.31,2.87456375002457,4600.5,5.49344726353815,54144.1,3520.19,3785.69,5164.96,2.53650487413184,3.72165883509015
1537,32.6166666666667,32346.3,38.5164030971445,2799.9,3.33398493897895,5164.48,6.14961196387657,52951.1,3875.54,4162.05,5759.4,2.78698491597288,4.14170952307399
1787,36.7833333333333,31599.3,37.4417588537354,3122.3,3.69958839812965,5788.42,6.85865274813491,51066.9,3945.28,4303.3,6071.51,2.89619448761902,4.45704076606065
2038,40.9666666666667,30824,36.9837424732168,2965.59,3.55822141322174,6215.88,7.45803611356147,49679.8,4389.78,4650.46,6638.05,3.22392285331472,4.87508738397955
2289,45.15,29963.3,36.2253771864802,3104.86,3.75374957401938,6634.35,8.02087323950048,48480.5,4800.35,5039.97,7259.38,3.5135117001778,5.31334518650446
2539,49.3166666666667,29415.7,35.0608992075281,3625.13,4.32083266909121,7230.63,8.61826812338068,47731.7,5168.84,5354.02,7817.09,3.75507982621896,5.67899121635376
2790,53.5,28719.6,34.5771751747996,3528.33,4.24795904136898,7620.59,9.17486578383145,46618.5,5339.31,5585.29,8269.54,3.89418932290211,6.03133258292024
3041,57.6833333333333,28056.2,33.8787928491897,3643.16,4.3992366377647,8051.1,9.72197051304564,45203.2,5610.94,5808.42,8730.07,4.1211060671927,6.41203513921322
