,Time (min),,Aldehyde,,Imine ester,Intermediate 1,Intermediate 2,,Ester fuel,,,,Phenol waste,,,,,,Fuel dimer,Alanine waste
-360,0,4651.12,6,0,0,0,0,1,48,0,0,0,0,1,0,0,0,0,0,0
0,6,3135.13,4.759785052,816.893,1.240214948,0,0,46711.7,39.55097838,1547.3,0.629446191,7440.02,6.411620169,69445.5,2663.21,797.175,1119.87,11764.4,0.446023206,6.582237787
297,10.95,1602.32,4.892806741,362.589,1.107193259,0,0,21281.8,35.99311855,868.434,0.870345399,5747.38,9.88881128,33256.4,1271.37,718.303,866.581,10015.9,0.747444717,10.42224736
548,15.13333333,1686.97,5.062866798,312.257,0.937133202,0,0,19540,33.28388576,859.454,0.947216864,7329.63,12.68784212,30547.9,1017.02,822.778,998.538,12669.8,0.857506365,13.2045754
798,19.3,1710.71,5.215221517,257.425,0.784778483,0,0,17973.5,30.83555878,886.189,1.094389659,8717.94,15.17393392,28304.5,942.003,1023.12,1165.38,15172,1.053699162,15.62546298
1049,23.48333333,1767.41,5.349446893,214.937,0.650553107,0,0,16612.1,28.69481496,885.532,1.173532241,9931.15,17.37937908,26173.9,783.084,1101.85,1220.29,17211.5,1.137622932,17.77029278
1300,27.66666667,1774.24,5.532636529,149.877,0.467363471,0,0,15316.7,26.7431841,904.77,1.33107919,11000.7,19.39718986,24200.7,625.024,1138.98,1262.67,19027.5,1.181951982,19.74537862
1551,31.85,1830.12,5.502065645,165.625,0.497934355,0,0,14260.5,24.88363828,928.609,1.347001507,11999.6,21.18455863,22552.4,560.775,1238.97,1372.75,20769.5,1.279090953,21.44206845
1802,36.03333333,1839.93,5.698035373,97.5062,0.301964627,0,0,13194,23.31475747,923.224,1.469966736,12845.6,22.86810907,21058.4,548.38,1331.12,1501.37,22397,1.364194032,22.95349309
2053,40.21666667,1829.99,5.703230914,95.224,0.296769086,0,0,12290.8,21.79505492,934.337,1.499602308,13633.6,24.36498783,19591.3,444.037,1344.36,1465.6,23709.1,1.386104947,24.44531287
2303,44.38333333,1827.52,5.723069716,88.4308,0.276930284,0,0,11507.1,20.39114373,988.126,1.606650811,14383.9,25.6863709,18131,340.231,1303.56,1445.78,24865.2,1.357704963,25.89800657
2554,48.56666667,1868.18,5.708997528,95.226,0.291002472,0,0,10712,19.09410379,962.437,1.559665567,15014.7,27.00370566,17046.8,328.036,1385.79,1503.71,26069.6,1.435619888,27.00700411
2805,52.75,1872.19,5.801425161,64.0825,0.198574839,0,0,10013.4,17.99183214,943.558,1.590398092,15586.6,28.1860028,15897.2,251.096,1349.85,1512.01,27030.8,1.407286156,28.18096132
3056,56.93333333,1889.49,5.867893895,42.5388,0.132106105,0,0,9445.55,16.96539508,985.683,1.701669139,16172.6,29.17943441,15002.1,257.442,1420.72,1587.08,28082.2,1.471310331,29.08217734
