,Time (min),,Aldehyde,,Imine ester,Intermediate 1,Intermediate 2,,Ester fuel,,,,Phenol waste,,,,,,Fuel dimer,Alanine waste,,,
-360,0,4695.87,6,0,0,0,0,1,48,0,0,0,0,1,0,0,0,0,0,0,28420.5,6.05223313251858,--
0,6,3428.36,4.70699148697899,941.769,1.29300851302101,0,0,54811.2,40.0901468511562,1845.08,0.672252703806446,7841.68,5.83585341303818,82578.1,2733.01,860.74,1314.67,12533.4,0.413072915875158,6.01483384509806,25815.6,5.90728557440753,
281,10.6833333333333,1456.34,4.74320941949961,385.881,1.25679058050039,0,0,21904.5,37.04219357108,953.338,0.976821609103462,5026.41,8.65247217712308,34479.6,1184.45,668.488,857.886,8782.11,0.697969444103299,9.16941580814319,11436.1,6.20777854557081,
531,14.85,1518.22,4.97640809811084,312.281,1.02359190188915,0,0,20231.1,34.6981394625208,914.797,1.04956946475593,6408.99,11.1643179665371,31869.2,923.051,778.161,925.911,10997,0.82103758391094,11.602933467841,11385.5,6.21988187933249,
782,19.0333333333333,1546.91,5.14557239923361,256.866,0.854427600766392,0,0,18788.6,32.3209832007947,1047.83,1.37951117561009,7685.11,13.4035115767504,29613.2,809.984,903.912,1047.43,13099.1,0.954130554708789,13.8268454774203,11466.5,6.35694232543287,
1033,23.2166666666667,1619.98,5.25324237689453,230.283,0.746757623105472,0,0,17456.7,30.337467983726,1014.53,1.38113853007466,8784.44,15.4702900350643,27603.2,674.981,1031.76,1164.28,15014.4,1.08872238619852,15.8433292581017,11412.6,6.16809610309453,
1283,27.3833333333333,1633.14,5.33262078183298,204.388,0.667379218167016,0,0,16329.2,28.3995137535605,1088.7,1.55747743331449,9835.77,17.3230599768765,25882.6,568.738,1121.79,1276.81,16800.4,1.17952949220223,17.6651309788769,11413.1,6.21111623877296,
1534,31.5666666666667,1628.45,5.44192869968944,166.998,0.558071300310563,0,0,15276.5,26.6804140368148,1133.79,1.70716485874122,10772.8,19.02264974291,24425.2,626.658,1349.75,1444.59,18604.3,1.39477514320729,19.2249047577488,11424.7,6.36314724792921,
1785,35.75,1684.55,5.54963472989779,136.705,0.45036527010221,0,0,14251.5,25.1692223105557,1105.7,1.72789265255478,11561,20.6153457512018,22391.5,278.504,1132.97,1282.79,19539.9,1.21863867392539,21.0173948336097,11401.5,6.26024362321586,
2036,39.9333333333333,1711.85,5.55614759485687,136.751,0.443852405143133,0,0,13368.6,23.6525438833328,1128.65,1.77306547447253,12355.2,22.0854931300496,21273.8,358.84,1350.6,1483.91,21136.4,1.42157353977925,22.2471101482231,11452.3,6.19511728058137,
2286,44.1,1735.7,5.63568542288205,112.203,0.364314577117955,0,0,12528.7,22.3606932660002,1085.35,1.7525266240332,13039.5,23.4826505287288,20519.5,518.497,1641.25,1792.17,22721.5,1.66931830045598,23.1100781500749,11335.1,6.13403409161628,
2537,48.2833333333333,1742.63,5.68357117118547,97.0197,0.316428828814529,0,0,11781.7,21.1333229487535,1103.35,1.8200843050037,13654.3,24.6956462761899,18866.9,262.292,1444.14,1610.31,23512.9,1.51693578914571,24.6981314253494,11408.1,6.20123494163046,
2788,52.4666666666667,1731.77,5.71093677518301,87.6548,0.289063224816986,0,0,11100.2,19.9543524205028,1140.57,1.90784605993756,14249.8,25.8201465653627,17737.5,216.947,1459.19,1640.12,24434.2,1.53977282382676,25.7835628889642,11475.1,6.3069932871092,
3039,56.65,1714.59,5.71993569010262,83.9512,0.280064309897377,0,0,10454.7,18.8804156911263,1156.83,1.95322421946974,14754.2,26.8606862013682,16923.9,306.225,1618.63,1703.45,25573.7,1.68439491864712,26.6127591426119,11469.4,6.37705713941944,
